,Unnamed: 0,Unnamed: 0.1,alfab_dez_mais,area_hectare,dens_dem,dist_marco_zero,morador_por_domic,nome_bairro,num_domic,pop_0_4,pop_15_17,pop_18_24,pop_25_59,pop_5_14,pop_60_,pop_fem,pop_masc,pop_porc_amarela,pop_porc_branca,pop_porc_indigena,pop_porc_parda,pop_porc_preta,populacao,prop_resp_fem,rend_medio,rpa,taxa_m_cresc,qtd_chamados,chamados_p_area
33,33,33,99.1,56,120.24,6.24,3.1,CASA FORTE,2192,329,230,715,3554,673,1249,3736,3014,0.52,77.41,0.1,20.16,1.81,6750,45.87,11318.97,3,4.2,514.0,9.178571428571429
34,34,34,89.9,61,150.74,9.92,3.4,CORREGO DO JENIPAPO,2732,642,501,1131,4540,1524,908,4828,4418,0.75,31.35,0.3,58.44,9.16,9246,46.0,1068.84,3,0.72,235.0,3.8524590163934427
35,35,35,98.7,47,43.85,3.26,3.1,DERBY,656,62,66,330,1049,144,420,1216,855,0.39,68.71,0.1,27.95,2.85,2071,46.8,7785.05,3,-0.49,383.0,8.148936170212766
36,36,36,85.6,617,1.37,13.43,3.5,GUABIRABA,1779,480,333,873,2989,1188,467,3214,3116,1.18,31.71,0.44,55.12,11.55,6330,42.34,1159.26,3,-1.44,474.0,0.7682333873581848
37,37,37,98.3,24,66.31,4.69,3.0,JAQUEIRA,529,66,60,164,812,161,328,886,705,0.5,68.82,0.13,26.65,3.9,1591,42.34,11339.79,3,2.96,265.0,11.041666666666666
38,38,38,91.2,125,162.25,8.76,3.5,MACAXEIRA,5807,1426,1166,2842,9933,3354,1592,10588,9725,1.69,32.28,0.38,56.39,9.27,20313,45.27,1387.01,3,0.52,906.0,7.248
39,39,39,91.7,29,240.43,5.61,3.3,MANGABEIRA,2116,426,378,847,3441,1052,816,3781,3169,0.99,28.99,0.16,57.27,12.59,6950,52.5,1317.08,3,-0.52,215.0,7.413793103448276
40,40,40,96.3,53,111.61,7.59,3.4,MONTEIRO,1742,367,264,697,3080,805,704,3204,2713,0.98,53.9,0.12,38.8,6.2,5917,42.02,7106.75,3,2.24,103.0,1.9433962264150944
41,41,41,91.2,38,265.24,6.76,3.4,MORRO DA CONCEICAO,2955,634,520,1246,5046,1595,1141,5459,4723,1.01,30.45,0.33,57.73,10.48,10182,50.19,1127.11,3,0.04,409.0,10.763157894736842
42,42,42,88.9,180,189.91,8.49,3.4,NOVA DESCOBERTA,9958,2425,2027,4516,16375,5773,3096,17967,16245,1.01,30.72,0.1,58.64,9.53,34212,53.25,898.39,3,-0.13,1268.0,7.044444444444444
